id,value
id_0,6.574960767520189
id_1,18.20658776714243
id_2,23.947731457190326
id_3,7.707729625341621
id_4,27.015186625706296
id_5,22.25787870668416
id_6,23.879076811695924
id_7,30.471190101219506
id_8,16.771802829249634
id_9,59.66370762477011
id_10,11.721894428717135
id_11,9.296654271786151
id_12,63.238379843500056
id_13,53.24409927003313
id_14,22.193870159946144
id_15,12.200596309868425
id_16,32.40284605573186
id_17,66.76878265295268
id_18,-0.5314751251021832
id_19,17.129930787298395
id_20,41.78191400279282
id_21,72.10101114257186
id_22,9.304048970628148
id_23,17.840773771578302
id_24,14.752443935459407
id_25,37.779653883874936
id_26,14.53909739843834
id_27,69.7355091300262
id_28,7.221937501078749
id_29,55.40984193285243
id_30,24.505762618010493
id_31,8.494052339918017
id_32,2.5095541340226966
id_33,18.675677502877555
id_34,27.764741028714916
id_35,37.20908216268319
id_36,43.237660464439706
id_37,29.827403599914916
id_38,42.2177361299803
id_39,35.13684828343241
id_40,7.576130546169665
id_41,41.2116053169203
id_42,30.5774461615587
id_43,50.96036385254923
id_44,17.51764873351796
id_45,35.37216036712945
id_46,24.629997321231098
id_47,9.635188211781312
id_48,26.797139522737936
id_49,32.266353426195394
id_50,20.137088272879247
id_51,7.9734919558333
id_52,20.592154367275512
id_53,52.685256321545175
id_54,15.976970531927698
id_55,36.482453085079115
id_56,32.84883663500623
id_57,20.792957790167712
id_58,57.410348626994946
id_59,22.776756873419416
id_60,14.31976606124772
id_61,41.74628487669352
id_62,12.584249156217329
id_63,48.407043263236666
id_64,14.173365888693878
id_65,15.158090209877553
id_66,14.423088608683122
id_67,-1.0002223425379064
id_68,43.817491904512096
id_69,29.12374801437767
id_70,20.218459774863156
id_71,41.76777198572546
id_72,60.8771045214082
id_73,5.5207100302510455
id_74,16.527948138196116
id_75,3.4333016384948962
id_76,40.36360674665246
id_77,13.96391289372691
id_78,21.573570586314684
id_79,21.027427130734324
id_80,23.92157614466477
id_81,36.11497249907708
id_82,21.85485628606427
id_83,92.56280163224798
id_84,37.28945547353801
id_85,27.82890339004542
id_86,22.034076730681434
id_87,33.656742136675945
id_88,23.278372030407347
id_89,19.802969881388087
id_90,29.00023842175564
id_91,41.590637861308394
id_92,4.707447906922042
id_93,38.812229392765026
id_94,45.87087637857756
id_95,16.484353654621515
id_96,31.624799674699425
id_97,12.970155239389983
id_98,23.44996523523115
id_99,4.5256814569548105
id_100,18.1029873112476
id_101,26.38010785851342
id_102,14.048766968083536
id_103,15.844501644170414
id_104,23.91258411816392
id_105,39.73445841609418
id_106,31.57037683676122
id_107,6.381830324252116
id_108,6.085564816238225
id_109,78.57141580856143
id_110,47.94924436419216
id_111,16.988940714651065
id_112,27.799715929446347
id_113,15.305951441879026
id_114,13.743425720670189
id_115,24.89563431193164
id_116,26.539181601710133
id_117,10.530011728158552
id_118,18.1094113819194
id_119,19.447540200927435
id_120,80.55061803733793
id_121,25.51089910465702
id_122,37.29916258691237
id_123,25.155282791226995
id_124,7.422739459935961
id_125,38.579553004179466
id_126,9.257544493824454
id_127,21.94319258979568
id_128,29.06623900007616
id_129,62.82342544218089
id_130,21.831534094951774
id_131,23.218308149063724
id_132,59.085959891009885
id_133,15.285885635803279
id_134,14.185689551717696
id_135,2.729601866969549
id_136,12.475878425537834
id_137,58.67493925145942
id_138,20.285429628424453
id_139,5.339119928722212
id_140,29.011815476130028
id_141,25.351598452270785
id_142,45.27086918900126
id_143,30.74108601452084
id_144,18.35029058609695
id_145,26.026521215371737
id_146,11.996083546410368
